,Unnamed: 0,TWEET_ID,USER_ID,TWEET,EMOJI,TWEET_SENTIMENT,PROCESSED_TWEET,TARGET_EMOJIS_LIST,nltk_aggregated_score,spacy_aggregated_score,hugging_face_score,emoji_score,delta_nltk,delta_spacy,delta_hugging_face,gamma_text,gamma_emoticon,gamma
0,0,683805597976924160,155227972,"@DavidJo52951945 Think your own goverment is , stupid fool....They should ask some economic support for it in Brussel soon....#brexit 😂",0x1f602,neutral,think goverment  stupid fool  ask economic support brussel soon ,0x1f602,-0.5574,-0.2999999999999999,0.8783916234970093,0.221,-0.7784,-0.5209999999999999,0.6573916234970093,0,1,0
7,11,684374630132527104,560521928,Goodmorning 💜 Have A Great Day Follow Back 😪@iMoochieSo,0x1f62a,positive,goodmorning purple_heart great day follow back,0x1f62a,0.6249,0.4,-0.980762541294098,-0.08,0.7049,0.48000000000000004,-0.900762541294098,1,0,1
17,24,684617241074216960,45305921,now I don't feel as bad about the wine glass I broke tonight 😅😅 https://t.co/wcEkrLgi2H,0x1f605|0x1f605,positive,feel bad wine glass break tonight,0x1f605|0x1f605,-0.5423,-0.6999999999999998,0.9032967686653136,0.178,-0.7202999999999999,-0.8779999999999999,0.7252967686653136,0,1,0
18,25,684654326342483968,132136847,"@paulwaugh 

V. Significant is DC free vote on Brexit ..... call yourself a journalist ??   😕👎",0x1f615,positive,v  significant dc free vote brexit  call journalist   thumbs_down,0x1f615,0.6249,0.3875,0.5625268220901489,-0.397,1.0219,0.7845,0.959526822090149,1,0,1
19,29,684665172808568832,19444575,"@SkyNews Cameron giving a free vote in #Brexit doesn't show very good leadership 😂 Sorry that's just if Corbyn did it, unbelievably biased",0x1f602,positive,cameron give free vote show good leadership sorry thats corbyn  unbelievably bias,0x1f602,0.6378,0.0875,0.5736889839172363,0.221,0.41680000000000006,-0.1335,0.35268898391723635,1,1,1
26,43,685122697815322624,3177406031,RT @Ty_runnin: Jenna LIT 🔥😻 #NCAAChampionships http://t.co/XiilOMFtdZ,0x1f63b,positive,rt jenna light fire,0x1f63b,-0.34,0.4,0.7234439253807068,0.619,-0.9590000000000001,-0.21899999999999997,0.10444392538070679,0,1,0
35,54,685369415408467968,3656559557,"@PowellPolitics @UK__News
You are so right #Boris will make a real difference. His business acumen in appreciating #UK needs after #Brexit 😲",0x1f632,positive,right make real difference  business acumen appreciate need,0x1f632,0.4019,0.2428571428571428,-0.7935866117477417,-0.068,0.4699,0.31085714285714283,-0.7255866117477416,1,0,1
36,56,685402696266985472,79564194,How will London pay off the Provinces? 😱 A question that never gets old. Nice paper by @KirstyS_Hughes on 🇪🇺 #Brexit https://t.co/6QMPJxuJTb,0x1f631,positive,london pay province  question never get old  nice paper  ,0x1f631,-0.4082,0.35,-0.7220208048820496,0.19,-0.5982000000000001,0.15999999999999998,-0.9120208048820495,0,1,0
38,59,685447214425063424,3656559557,"Great just heard that @LBC is being renamed as #LeaveBritainConversation
That'll be great listening
#Brexit
#LeaveEU
#UKIP
#closeborders👍😲",0x1f632,positive,great heard rename great listening,0x1f632,0.8481,0.8,-0.9223957061767578,-0.068,0.9160999999999999,0.8680000000000001,-0.8543957061767578,1,0,1
44,69,685767436675723264,3656559557,"@JGForsyth @britom1947 @TheSun
@BetterOffOut @TheSun
Good thing too free vote #Brexit #LeaveEU #votetoleave #EUExit #worldtrade ✔
#UKIP 👍😲✔",0x1f632,positive,good thing free vote check_mark thumbs_up check_mark,0x1f632,0.7351,0.55,-0.7398291230201721,-0.068,0.8030999999999999,0.6180000000000001,-0.6718291230201721,1,0,1
