,TWEET_ID,USER_ID,TWEET,EMOJI,TWEET_SENTIMENT,PROCESSED_TWEET,TARGET_EMOJIS_LIST,nltk_aggregated_score,spacy_aggregated_score,hugging_face_score,emoji_score,delta_nltk,delta_spacy,delta_hugging_face
0,683805597976924160,155227972,"@DavidJo52951945 Think your own goverment is , stupid fool....They should ask some economic support for it in Brussel soon....#brexit 😂",0x1f602,neutral,think goverment  stupid fool  ask economic support brussel soon  face_with_tears_of_joy,0x1f602,-0.5574,-0.29999999999999993,0.8273663520812988,0.221,0.7784,0.5209999999999999,0.6063663520812989
1,683805941414936576,155227972,@DavidJo52951945 Or maybe that has to be calculated with the cost of refugee support first...😈😂 where UK sucks too #brexit,0x1f608|0x1f602,negative,maybe calculate cost refugee support first  smiling_face_with_horns face_with_tears_of_joy uk suck,0x1f608|0x1f602,-0.0516,0.25,0.6141120791435242,0.243,0.2946,0.007000000000000006,0.3711120791435242
2,683879626049888256,374371350,EgencyEnt @yudaichin Welcome ya! 😄,0x1f604,neutral,egencyent welcome ya  grinning_face_with_smiling_eyes,0x1f604,0.4588,0.8,-0.849381685256958,0.421,0.0378,0.37900000000000006,1.270381685256958
4,684018933763014656,63925655,"@RedHotSquirrel @PoliticsSense
I'm glad to hear this. We #UK need to #LeaveEU now our country is under control from #EU
#Brexit
#EUExit
👍😀👏",0x1f600,positive,im glad hear  need country control thumbs_up grinning_face clapping_hands,0x1f600,0.4588,0.5,-0.8241716027259827,0.568,0.10919999999999996,0.06799999999999995,1.3921716027259827
5,684077778308730880,4444414572,They found lumbersexuals making a brexit to the sharing economy of the dark web 😱 https://t.co/p1ixvJrf5p #wordoftheyear #word,0x1f631,neutral,find lumbersexuals make brexit share economy dark web face_screaming_in_fear,0x1f631,0.296,-0.15,0.649043083190918,0.19,0.10599999999999998,0.33999999999999997,0.45904308319091797
8,684319327391186944,309270972,RT @SWainwrightNW3: Big Twitter welcome to @LondonArt_Shop Thanks for following. Happy Tweeting! 😁,0x1f601,positive,rt big twitter welcome thanks follow  happy tweeting  beaming_face_with_smiling_eyes,0x1f601,0.8625,0.45,-0.9807101488113403,0.449,0.41350000000000003,0.0010000000000000009,1.4297101488113404
10,684349294174846976,214131906,RT @pearlvpuri: Happy Birthday guys 😇 God bless #keepsmiling #pvpbirthdaygift https://t.co/O3HOCHWMnc,0x1f607,neutral,rt happy birthday guy smiling_face_with_halo god bless,0x1f607,0.8225,0.8,-0.9831746816635132,0.587,0.23550000000000004,0.21300000000000008,1.5701746816635131
11,684374630132527104,560521928,Goodmorning 💜 Have A Great Day Follow Back 😪@iMoochieSo,0x1f62a,positive,goodmorning purple_heart great day follow back sleepy_face,0x1f62a,0.6249,0.4,-0.9698816537857056,-0.08,0.7049,0.48000000000000004,0.8898816537857056
13,684376543381073920,3011965307,When the people next to you are talking about a subject you wanna join into...... but you don't wanna be weird 😳,0x1f633,positive,people next talk subject wanna join  wanna weird flushed_face,0x1f633,0.128,-0.2222222222222222,0.731264054775238,0.018,0.11,0.2402222222222222,0.713264054775238
14,684448476097331200,1001992369,@Leofmmmartins ahhhhh 😕,0x1f615,neutral,ahhhhh confused_face,0x1f615,0.0,0.0,0.5418012142181396,-0.397,0.397,0.397,0.9388012142181397
15,684451179976351744,228410269,"Putin will be rubbing his hands at the prospect of Brexit

https://t.co/wr0U2jiNu8
@wirespyuk Hey man, like Prince formerly k/a; I like it!😀",0x1f600,positive,putin rub hand prospect brexit hey man  like prince formerly k   like  grinning_face,0x1f600,0.8555,0.0,0.7569955587387085,0.568,0.2875000000000001,0.568,0.18899555873870855
16,684478675933356032,1938891602,@Samson1176 @M0nk33y God I hope not. More chance of Brexit it he doesn't... Reverse psychology 😉,0x1f609,positive,god hope  chance brexit  reverse psychology winking_face,0x1f609,0.7184,0.0,0.5721334218978882,0.463,0.2554,0.463,0.10913342189788816
17,684464076597112832,3656559557,"@politicshome
Get stuck in #Nigel_Farage you have a lot of support
Get all your #Minions working and save #UKIP
#LeaveEU
#Brexit
#EUExit
👍😀",0x1f600,neutral,get stuck lot support get work save thumbs_up grinning_face,0x1f600,0.5994,0.0,0.4891914427280426,0.568,0.031400000000000095,0.568,0.07880855727195735
18,684469801897619456,297286429,@PWilliamsTBF @PeteNorth303 UNECE with 56 member states with a veto; that'll work so much better than EU after a #brexit 😂,0x1f602,positive,unece 56 member state veto  work much well eu face_with_tears_of_joy,0x1f602,0.2732,0.2,-0.7545426487922668,0.221,0.052199999999999996,0.02099999999999999,0.9755426487922668
